id,spell,pos,meaning
641,dismiss,動詞,"＜考えなど＞を無視する
＜人＞を解雇する、解散させる"
642,breed,動詞,～を繁殖させる、繁殖する
643,prohibit,動詞,＜法・団体が＞～を禁じる
644,oblige,動詞,～に強いる
645,qualify,動詞,Aに適任である
646,invest,動詞,（＜金＞を）投資する
647,grasp,動詞,～を理解する
648,collapse,動詞,崩壊する
649,overlook,動詞,"～を見落とす、見逃す
～を見渡す"
650,accuse,動詞,"～を非難する
～を告訴する"
651,frustrate,動詞,＜人＞を欲求不満にさせる
652,deprive,動詞,AからB（機会・自由・睡眠など）を奪う
653,astonish,動詞,～を驚嘆させる
654,register,動詞,～を登録する
655,correspond,動詞,"一致する
連絡しあう"
656,cast,動詞,～を投げる、＜疑い・目など＞を向ける
657,attribute,動詞,"A（結果）はB（原因）のおかげだと思う
A（性質）がB（人）にあると思う
Aの作品だと考えられる"
658,neglect,動詞,"～を無視する、怠る
＜子供など＞の世話をしない"
659,starve,動詞,飢える
660,resolve,動詞,＜問題など＞を解決する
661,impose,動詞,AをBに課す、押し付ける
662,convert,動詞,～を転換する
663,scare,動詞,～を怯えさせる
664,constitute,動詞,"～を構成する、占める
～である"
665,appoint,動詞,～を任命する
666,imply,動詞,～を（暗に）意味する
667,assign,動詞,＜仕事・物＞を割り当てる
668,nod,動詞,うなずく
669,elect,動詞,"～を選挙で選ぶ
（～すること）を選ぶ"
670,transfer,動詞,～を移す；転勤する
671,rob,動詞,AからBを奪う
672,capture,動詞,～を捕らえる
673,undertake,動詞,"＜仕事など＞を引き受ける
～に取り掛かる、～を始める"
674,drown,動詞,おぼれ死ぬ
675,split,動詞,～を割る；分裂する
676,resort,動詞,A（手段）に訴える
677,descend,動詞,"下る、降りる
（祖先から）伝わる"
678,irritate,動詞,～をいらだたせる
679,pronounce,動詞,＜単語など＞を発音する
680,equip,動詞,～を装備させる
681,cheat,動詞,いかさまする
682,emerge,動詞,＜隠れていたものが＞現れる
683,devote,動詞,～をささげる
684,heal,動詞,＜けがなど＞を治す；治る
685,urge,動詞,～に強く迫る、～を説得する
686,envy,動詞,～をうらやむ
687,chase,動詞,～を追いかける
688,prompt,動詞,～を促す
689,withdraw,動詞,"～を引っ込める
引きこもる、退く
＜預金など＞を引き出す"
690,detect,動詞,"～を探知する
＜誤り、病気など＞を発見する"
691,interfere,動詞,Aを邪魔する
692,kid,動詞,冗談を言う、からかう
693,launch,動詞,"＜ロケットなど＞を打ち上げる
＜事業など＞を始める"
694,endanger,動詞,～を危険にさらす
695,foster,動詞,～を促進する、育成する
696,diminish,動詞,減少する、衰える；～を減らす
697,spill,動詞,～をこぼす
698,infect,動詞,＜人＞に感染する、＜人＞にうつす
699,stem,動詞,Aから生じる、Aに由来する
700,tap,動詞,"～を軽くたたく
～を開発する"
701,embrace,動詞,"＜思想など＞を受け入れる
～を含む"
702,proportion,名詞,比率
703,contract,名詞,契約
704,chest,名詞,"胸
箱"
705,treasure,名詞,財宝
706,stock,名詞,"株（式）
在庫品、貯蔵品"
707,facility,名詞,"①設備、施設
②能力、器用さ"
708,sum,名詞,①金額   ②合計　③要約
709,rank,動詞,地位、階級／（動）位置する、（上位を）占める；〜を評価する、順位をつける
710,democracy,名詞,民主主義、民主制；民主国家
711,emergency,名詞,緊急事態／（形）非常の、救急の
712,protest,動詞,抗議／（動）抗議する
713,immigrant,名詞,（外国からの）移民
714,vehicle,名詞,①車、乗り物　②（伝達）手段、媒体
715,routine,形容詞,決まりきった仕事、日課／（形）決まりきった、型どおりの
716,stuff,動詞,（漠然と）物、こと、材料／（動）〜を詰め込む
717,row,動詞,列、並び／（動）（ボートを）こぐ
718,profile,名詞,プロフィール、人物紹介；横顔
719,dawn,動詞,夜明け；始まり／（動）わかりはじめる；始まる
720,welfare,名詞,福祉、幸福；生活保護
721,perspective,名詞,①見方；正しい見方、大局的な見方　②遠近法
722,enthusiasm,名詞,熱意、情熱、熱中
723,faith,名詞,①信頼　②信仰
724,occupation,名詞,①職業　②占領、占拠
725,witness,動詞,証人、目撃者／（動）〜を目撃する
726,kingdom,名詞,①王国　②（学問などの）世界、領域
727,equivalent,形容詞,"同等のもの、相当するもの（＋of,to）／（形）同等の（＝equal）"
728,objective,形容詞,目的、目標／（形）客観的な
729,pile,動詞,①積み重ね　②（a pile of A / piles of A）たくさんのA／（動）〜を重ねる、〜を積む
730,shelter,動詞,避難(所)、避難する、～を保護する
731,trial,名詞,①試み、試し ②裁判
732,honor,動詞,名誉、光栄、～を尊敬する、～に栄誉を授ける
733,territory,名詞,①領土、なわ張り ②地域、領域
734,frame,動詞,わく、額縁、骨組み、～をわくにはめる、～を組み立てる
735,border,動詞,国境地帯、境界、(～に)接する
736,statistics,名詞,統計(学)、統計の数字
737,enterprise,名詞,企業、事業、企て
738,context,名詞,"①文脈
②(文化・社会的な)状況、背景(=situation)"
739,load,動詞,荷物、積み荷、重荷、負担、(荷など)を積む、詰め込む
740,grain,名詞,①穀物 ②粒、少量
741,review,動詞,"①再検討、入念な調査、批評
②復習、～を批評する、～を復習する"
742,prejudice,名詞,偏見、先入観
743,strain,動詞,負担、重圧、緊張、～に無理な負担をかける、酷使する
744,trap,動詞,わな、計略、閉じ込められる、～をわなにかける
745,temper,名詞,①気性、気分(=mood) ②平静な気分、短気
746,slave,名詞,奴隷
747,wound,動詞,傷、けが、～を傷つける
748,divorce,動詞,離婚(⇔marriage)、～と離婚する、～を切り離す(=separate)
749,tune,動詞,曲、メロディー、(番組に)チャンネルを合わせる、～を調和させる
750,height,名詞,高さ、高地、最盛期、絶頂期
751,faculty,名詞,"①(大学の)学部、教授スタッフ
②(心身の)能力(=ability)"
752,span,名詞,期間、長さ
753,dimension,名詞,"①(問題などの)側面(=aspect)、要素(=factor) 
②次元 ③大きさ、規模"
754,version,名詞,①型、…版 ②翻訳、脚色 ③(ある立場からの)説明、解釈
755,parallel,動詞,類似(物)、匹敵するもの(+to)、類似した、平行の、～に似ている、匹敵する
756,horizon,名詞,①地平線、水平線 ②視野
757,acquaintance,名詞,①知人 ②交際 ③知識
758,burden,動詞,重荷、負担、重圧、(重荷を)～に負わせる
759,basis,名詞,"①基礎、根拠
②方式、やり方(=way, manner)"
760,poison,動詞,毒、毒物、～を毒殺する、～を害する
761,constitution,名詞,①憲法 ②体質、体格
762,administration,名詞,①経営、運営(=management) ②行政、政府、～局
763,charm,動詞,①魅力 ②まじない、お守り、(人)を魅了する
764,organ,名詞,①臓器、(動植物の)器官 ②オルガン
765,prey,動詞,獲物、えじき、(+on A)Aを捕まえて食べる
766,venture,動詞,冒険的事業、冒険、危険を冒して行く、～を思い切ってする
767,mission,名詞,①使命、任務 ②[宇宙]飛行任務 ③布教(団)
768,inquiry,名詞,①調査、探究(+into) ②質問、問い合わせ(=question)
769,award,動詞,賞、賞品、賞金(=prize)、～を授与する
770,strip,動詞,細長い一片、～を裸にする、～から取り除く
771,distress,動詞,苦しみ、悲嘆、苦難、～を苦しめる
772,circulation,名詞,①循環、流通 ②発行部数
773,shade,名詞,①陰、日陰 ②(濃淡の)色合い ③(意味などの)わずかな違い ④(a～)ほんの少し(=a little)
774,stereotype,形容詞,典型的なイメージ、類型、固定観念
775,client,名詞,(弁護士などの)依頼人、(会社・店などの)顧客
776,output,名詞,①生産高 ②出力、アウトプット
777,lord,名詞,①(Lord)神、キリスト ②領主、貴族
778,convention,名詞,①慣習、しきたり ②(大規模な)会議、大会 ③協定
779,mine,代名詞,鉱山、～を掘る
780,craft,動詞,工芸、技術、～を巧みに作る
781,core,名詞,中心、(問題の)核心
782,stroke,動詞,①脳卒中、発作 ②打撃、一撃 ③字画、一筆、～をなでる、さする
783,frontier,名詞,①国境、辺境 ②未開拓の分野、最前線
784,peer,動詞,同僚、仲間、じっと見る
785,vessel,名詞,①血管、管 ②船 ③器
786,disability,名詞,(身体・精神の)障害
787,gravity,名詞,①重力、引力(=gravitation) ②重大さ、重み
788,ethic,名詞,論理(学)、価値観
789,terminal,名詞,①(バスなどの)終点、ターミナル ②(コンピュータなどの)端末、末期の、終わりの、終点の
790,tide,動詞,①潮流、潮の干満 ②傾向、時流
791,abuse,動詞,①虐待 ②(薬などの)乱用、～を虐待する、～を乱用する
792,guilty,形容詞,有罪の(⇔innocent)、罪の意識がある、うしろめたい
793,vital,形容詞,①きわめて重要な、必要な ②活気のある
794,fellow,動詞,仲間の、同僚の、男、やつ
795,contemporary,名詞,①現代の ②同時代の、同時代人
796,annual,名詞,①年に1度の、恒例の ②1年間の
797,accustomed,形容詞,慣れた
798,steady,形容詞,しっかりした、変わらない、一定の
799,dull,形容詞,①(人を)退屈させる(=boring) ②(刃物・色彩・人が)鈍い、頭が悪い
800,keen,形容詞,①熱望して、熱中して ②(刃物などが)鋭い、(感覚・感情が)鋭敏な
801,loose,形容詞,①ゆるい、たるんだ ②解き放たれた、自由の
802,delicate,形容詞,①(問題などが)微妙で難しい、慎重を要する ②繊細な、上品な、か弱い
803,internal,形容詞,①内部の(=interior) ②国内の(=domestic)
804,casual,形容詞,①形式ばらない、気楽な、さりげない ②偶然の、ふとした
805,mature,動詞,成熟した、成熟する、大人になる(=grow)、～を成熟させる
806,concrete,形容詞,具体的な、形のある、コンクリート
807,awful,形容詞,ひどい、いやな(=terrible)、すごく
808,exhausted,形容詞,疲れ切っている(=tired out)
809,overall,形容詞,全面的な、全体的な、全体として、概して
810,tight,動詞,①引き締まった、(服などが)きつい ②厳しい、きつく、堅く
811,prime,名詞,最も重要な、主要な、第一の
812,genuine,形容詞,(関心・愛情などが)真の、本物の(=real)、心からの
813,modest,形容詞,①控えめな、謙虚な(⇔arrogant) ②質素な ③少しの、わずかな
814,intimate,形容詞,親密な、親しい
815,minimum,名詞,最小限の、最低限の、最小限、最低限
816,sophisticated,動詞,①高度な、精巧な ②洗練された、教養のある
817,latter,名詞,後者の、後の、後半の
818,bitter,名詞,①苦い、つらい ②腹を立てた、いまいましい気持ちの
819,peculiar,形容詞,①独特の、固有の ②変な、妙な
820,passive,形容詞,受動的な、消極的な、活発でない
821,ethnic,形容詞,民族的な、民族の
822,noble,形容詞,高貴な、気高い、貴族
823,vain,形容詞,①むだな、むなしい ②虚栄心の強い
824,innocent,形容詞,①無罪の、罪の無い ②無邪気な、うぶな
825,underlying,形容詞,根本的な、基礎となる、裏に潜んだ
826,alien,動詞,①外国(人)の(=foreign) ②異質な、なじみのない(=strange)、外国人(市民権が無い人)、宇宙生物
827,relevant,形容詞,関連のある、適切な
828,inclined,動詞,①Vしたい気がする ②Vする傾向がある
829,awkward,形容詞,①(状況などが)気まずい、やっかいな ②(物が)扱いにくい ③(人・動作が)ぎこちない(=clumsy)
830,brilliant,形容詞,すばらしい、輝かしい、(人・才能などが)極めて優秀な
831,desperate,形容詞,①(人・努力が)必死の ②(事態が)絶望的な
832,refreshing,形容詞,さわやかな、すがすがしい、清新な
833,thrilled,動詞,(人が)とてもうれしい、わくわくしている
834,inner,形容詞,内側の、心の奥の
835,consistent,形容詞,①矛盾のない、一致した(+with) ②一貫した、不変の
836,plain,形容詞,①明白な、わかりやすい ②簡素な、無地の ③平野
837,vivid,形容詞,①鮮やかな、鮮明な ②(描写などが)生き生きした
838,miserable,形容詞,惨めな、不幸な、不十分な
839,substantial,形容詞,①相当な、多大な ②実質的な、重要な
840,fond,形容詞,(be fond of A)Aが好きだ
841,false,形容詞,まちがいの、いつわりの
842,lazy,形容詞,①(やる気がなくて)怠惰な、無精な、なまけもの ②くつろいだ、のんびりした
843,precisely,副詞,正確に、まさに、ちょうど(=exactly)
844,meanwhile,副詞,①その間に ②一方では
845,altogether,名詞,①完全に、まったく ②全部で
846,lately,副詞,最近、近頃
847,barely,副詞,①かろうじて、やっとのことで(=only just) ②ほとんど～ない(=hardly)
848,scarcely,副詞,ほとんど～ない(=hardly)
849,accordingly,副詞,①それ相応に、それに応じて ②したがって(=therefore)
850,deliberately,副詞,①わざと、故意に(=intentionally) ②慎重に
851,beneath,前置詞,"～の下に、下で(=under, below)"
852,whereas,接続詞,～だが一方、～であるのに
853,declare,動詞,①～を宣言する ②～と述べる(+that～)
854,alter,動詞,変える、変わる(=change)
855,arise,動詞,生じる、起こる
856,transform,動詞,～を変える、変形する
857,defeat,動詞,～を打ち負かす(=beat)／敗北、失敗
858,investigate,動詞,調査する、捜査する
859,distinguish,動詞,～を区別する
860,bury,動詞,～を埋葬する、埋める
861,cope,動詞,うまく対処する
862,occur,動詞,起こる、生じる(=happen)
863,accomplish,動詞,～をやりとげる(=carry out)
864,hesitate,動詞,ためらう、躊躇する
865,endure,動詞,耐える、我慢する
866,conclude,動詞,～と結論づける、～を終える
867,guarantee,動詞,～を保証する
868,dominate,動詞,～を支配する
869,confirm,動詞,～を確認する、裏づける
870,greet,動詞,～にあいさつする、～を迎える
871,entertain,動詞,～を楽しませる
872,defend,動詞,～を守る、防御する
873,forbid,動詞,～を禁じる
874,broadcast,動詞,～を放送する
875,sacrifice,動詞,～を犠牲にする
876,punish,動詞,～を罰する
877,glance,動詞,ちらっと見る
878,retain,動詞,～を保持する、保つ
879,calculate,動詞,～を計算する
880,sink,動詞,沈む、沈没する
881,rescue,動詞,～を救助する
882,beg,動詞,～を乞う、頼む
883,define,動詞,～を定義する
884,deceive,動詞,～をだます
885,convey,動詞,～を伝える
886,sustain,動詞,～を支える、維持する
887,purchase,動詞,～を購入する
888,fade,動詞,色あせる、薄れる
889,regulate,動詞,～を規制する、調整する
890,distribute,動詞,～を分配する
891,enhance,動詞,～を高める
892,chat,動詞,おしゃべりする
893,exceed,動詞,～を超える
894,wipe,動詞,～をふく
895,cooperate,動詞,協力する
896,inherit,動詞,～を受け継ぐ
897,unite,動詞,～を団結させる
898,leap,動詞,跳ぶ、跳躍する
899,exaggerate,動詞,～を誇張する
900,conquer,動詞,～を征服する
901,melt,動詞,溶ける／溶かす
902,invade,動詞,～に侵入する、侵略する
903,modify,動詞,～を修正する、変更する
904,scatter,動詞,～をばらまく、散らす
905,undergo,動詞,～を経験する
906,evaluate,動詞,～を評価する
907,bend,動詞,曲げる、身をかがめる
908,derive,動詞,得る、引き出す／由来する
909,scream,動詞,叫ぶ
910,gaze,動詞,見つめる
911,pray,動詞,祈る
912,polish,動詞,～を磨く
913,classify,動詞,～を分類する
914,assert,動詞,～と主張する
915,grab,動詞,～をつかむ
916,fold,動詞,～を折りたたむ
917,sweep,動詞,～を掃く
918,whisper,動詞,ささやく
919,imitate,動詞,～をまねる
920,stare,動詞,じっと見る
921,emphasize,動詞,～を強調する
922,rid,動詞,～を取り除く
923,pour,動詞,～を注ぐ
924,vanish,動詞,消える
925,restore,動詞,～を修復する、回復する
926,deserve,動詞,～に値する、当然だ
927,laboratory,名詞,研究所
928,conference,名詞,会議
929,continent,名詞,大陸
930,insurance,名詞,保険
931,crew,名詞,乗組員
932,poverty,名詞,貧困
933,shortage,名詞,不足
934,affair,名詞,情勢、出来事／(恋愛)関係
935,exception,名詞,例外
936,wage,名詞,賃金
937,wisdom,名詞,知識、知恵
938,tax,名詞,税
939,evolution,名詞,進化
940,barrier,名詞,障害、壁
941,category,名詞,範疇、カテゴリー
942,unit,名詞,単位
943,reputation,名詞,評判
944,virtue,名詞,美徳
945,courage,名詞,勇気
946,sympathy,名詞,同情、共感
947,union,名詞,労働組合、同盟、連邦
948,civilization,名詞,文明
949,volume,名詞,量／(本の)巻
950,blossom,名詞,花、花が咲くこと
951,era,名詞,時代
952,dispute,名詞,論争、紛争
953,tourism,名詞,観光
954,mankind,名詞,人類
955,murder,名詞,殺人
956,landscape,名詞,風景
957,destination,名詞,目的地
958,tale,名詞,おとぎ話、物語
959,reform,名詞,改革
960,muscle,名詞,筋肉
961,prospect,名詞,見通し
962,corporation,名詞,企業、法人
963,colony,名詞,植民地
964,quarrel,名詞,口論
965,profession,名詞,職業
966,aspect,名詞,側面
967,pause,名詞,休止
968,conflict,名詞,衝突、紛争、対立
969,privilege,名詞,特権
970,prosperity,名詞,繁栄
971,genius,名詞,天才
972,seed,名詞,種
973,symptom,名詞,症状
974,merit,名詞,長所、功績
975,layer,名詞,層
976,clue,名詞,手がかり
977,circumstance,名詞,状況
978,district,名詞,地区
979,prison,名詞,刑務所
980,companion,名詞,仲間
981,executive,形容詞,最高経営責任者／幹部、重役
982,justice,名詞,正義
983,procedure,名詞,手続き
984,ray,名詞,光線
985,heaven,名詞,天国
986,luxury,動詞,ぜいたく
987,oxygen,名詞,酸素
988,fund,名詞,資金
989,theme,名詞,主題、テーマ
990,boundary,名詞,境界
991,ambition,名詞,野心、熱望
992,forecast,名詞,予報
993,psychology,名詞,心理学
994,labor,名詞,労働
995,committee,名詞,委員会
996,physician,名詞,医師
997,philosophy,名詞,哲学
998,affection,名詞,愛情
999,candidate,名詞,候補
1000,bomb,名詞,爆弾
1001,priority,名詞,優先事項
1002,obstacle,名詞,障害
1003,appetite,名詞,食欲
1004,tension,名詞,緊張
1005,tribe,名詞,部族
1006,budget,名詞,予算
1007,campaign,名詞,運動
1008,sorrow,名詞,悲しみ
1009,satellite,名詞,衛星（人工衛星）、通信衛星
1010,insight,名詞,洞察、見識、理解（力）
1011,cough,動詞,せき、せきをする
1012,fate,動詞,運命、（悪い）運、破滅
1013,scheme,名詞,計画（=plan）
1014,insult,動詞,侮辱、侮辱する
1015,inhabitants,名詞,住民
1016,fuels,名詞,燃料
1017,motive,名詞,動機
1018,instinct,名詞,本能、直観
1019,legend,名詞,伝説、言い伝え
1020,Empire,名詞,帝国
1021,suburbs,名詞,郊外
1022,architecture,名詞,建築様式
1023,passion,名詞,情熱
1024,cancer,名詞,がん
1025,logic,名詞,論理学
1026,dozen,名詞,12個、1ダース
1027,harvest,名詞,収穫
1028,ingredients,名詞,材料、構成要素、成分
1029,hypothesis,名詞,仮説、仮定
1030,voyage,名詞,航海、（長い）旅
1031,editor,名詞,編集者、編集長
1032,option,名詞,選択肢
1033,hemisphere,名詞,半球
1034,mechanism,名詞,仕組み、機構、装置
1035,Anthropologists,名詞,人類学者
1036,tragedy,名詞,悲劇
1037,antibiotics,名詞,抗生物質
1038,fare,名詞,運賃
1039,debt,名詞,借金、恩、借り
1040,curriculum,名詞,教育課程
1041,components,名詞,構成要素、部品、成分
1042,wheat,名詞,小麦
1043,usage,名詞,語法、使用（法）
1044,castle,名詞,城
1045,famine,名詞,飢饉
1046,extinction,名詞,絶滅
1047,purse,名詞,財布、ハンドバッグ
1048,folk,名詞,人々、国民
1049,explosion,名詞,爆発
1050,portion,名詞,部分
1051,organisms,名詞,生物、生体（有機体）
1052,Merchant,名詞,商人
1053,myths,名詞,神話
1054,incidents,名詞,出来事、事件
1055,wildlife,名詞,野生生物
1056,Congress,名詞,（合衆国などの）国会
1057,Bay,名詞,湾
1058,penalty,名詞,刑罰、罰金
1059,heritage,名詞,遺産、文化遺産、伝統
1060,diversity,名詞,多様性
1061,thumb,名詞,親指
1062,geography,名詞,地理
1063,factor,名詞,要因、要素
1064,discrimination,名詞,差別
1065,virus,名詞,ウイルス
1066,Statue,名詞,像、彫像
1067,priest,名詞,司祭、牧師、聖職者
1068,pioneer,動詞,先駆者、開拓者／～を開拓する
1069,traits,名詞,特徴
1070,bonds,形容詞,きずな
1071,grocery,名詞,食料品
1072,secretary,名詞,秘書
1073,dialect,名詞,方言
1074,astronomy,名詞,天文学
1075,youngsters,名詞,子供たち、若者たち
1076,substance,名詞,物質
1077,findings,名詞,発見
1078,strategy,名詞,戦略、作戦、計画
1079,lungs,名詞,肺
1080,opponent,名詞,相手、対抗者
1081,ritual,名詞,儀式
1082,outcome,名詞,結果、成果
1083,conservation,名詞,（環境などの）保護、保存／（資源などの）節約
1084,mammals,名詞,哺乳類
1085,telescope,名詞,望遠鏡
1086,refugee,名詞,難民、亡命者
1087,code,名詞,規則、記号、暗号
1088,flavor,名詞,風味
1089,particles,名詞,粒子、微粒子
1090,nursing,名詞,看護
1091,suicide,名詞,自殺
1092,habitat,名詞,生息地
1093,bullying,名詞,いじめ
1094,Dinosaurs,名詞,恐竜
1095,Council,名詞,議会、評議会
1096,gender,名詞,性別
1097,surgery,名詞,外科手術
1098,innovation,名詞,革新、技術革新
1099,protein,名詞,タンパク質
1100,nutrition,名詞,栄養
1101,disaster,名詞,災害、惨事
1102,emissions,名詞,排出
1103,apes,名詞,類人猿
1104,molecule,名詞,分子
1105,sweat,名詞,汗
1106,transplant,名詞,移植
1107,species,名詞,（生物の）種
1108,tip,名詞,先端、先
1109,cattle,名詞,牛（集合的）
1110,density,名詞,密度
1111,concept,名詞,概念
1112,pale,形容詞,青白い、青ざめた／（色が）淡い
1113,precious,形容詞,貴重な、高価な
1114,loyal,形容詞,忠実な、誠実な
1115,isolated,形容詞,孤立した
1116,generous,形容詞,気前のよい、寛大な、たっぷりした
1117,tropical,形容詞,熱帯の
1118,reluctant,形容詞,気が進まない、不本意な
1119,vague,形容詞,漠然とした、はっきりしない
1120,vast,形容詞,広大な、莫大な
1121,numerous,形容詞,たくさんの
1122,rural,形容詞,田舎の
1123,widespread,形容詞,広く行き渡った
1124,complicated,形容詞,複雑な
1125,visible,形容詞,目に見える
1126,raw,形容詞,生の、加工されていない
1127,remote,形容詞,へんぴな、遠い
1128,urgent,形容詞,緊急の
1129,silly,形容詞,ばかな
1130,striking,形容詞,いちじるしい
1131,adequate,形容詞,十分な、適切な
1132,extraordinary,形容詞,並外れた、異常な
1133,odd,形容詞,奇妙な、おかしな
1134,abstract,形容詞,抽象的な
1135,mutual,形容詞,相互の、共通の
1136,excessive,形容詞,過度の、過剰な
1137,ashamed,形容詞,恥ずかしい
1138,tremendous,形容詞,とてつもない、巨大な
1139,inevitable,形容詞,避けられない、必然的な
1140,pure,形容詞,純粋な
1141,stable,形容詞,安定した
1142,indifferent,形容詞,無関心だ
1143,aggressive,形容詞,攻撃的な、積極的な
1144,ultimate,形容詞,究極の、最終の
1145,shy,形容詞,内気な、恥ずかしがりな
1146,solar,形容詞,太陽の
1147,profound,形容詞,深い、重大な
1148,subtle,形容詞,微妙な
1149,Conservative,形容詞,保守的な、控えめな
1150,brave,形容詞,勇敢な
1151,intense,形容詞,強烈な、激しい
1152,alcoholic,名詞,アルコール（性）の／アルコール依存症患者
1153,manual,名詞,手を使う（手動の）／手引書
1154,cruel,形容詞,残酷な
1155,rational,形容詞,理性的な、合理的な
1156,initial,名詞,最初の、初期の
1157,immune,形容詞,免疫の
1158,linguistic,形容詞,言語の
1159,crucial,形容詞,重大な、決定的な（=essential）
1160,verbal,形容詞,言葉による（言語の・口頭の）
1161,optimistic,形容詞,楽観的な
1162,flexible,形容詞,柔軟な／変更可能な
1163,grateful,形容詞,感謝している
1164,lively,形容詞,生き生きとした／元気な
1165,overwhelming,形容詞,圧倒的な
1166,abundant,形容詞,豊富な（+in）
1167,selfish,形容詞,利己的な
1168,ugly,形容詞,みにくい／不快な
1169,racial,形容詞,人種の／民族の
1170,prominent,形容詞,有名な／目立った／卓越した
1171,controversial,動詞,論争を呼ぶ／意見が対立する
1172,federal,名詞,連邦の
1173,ridiculous,形容詞,ばかげた
1174,imaginary,形容詞,架空の／想像上の
1175,harsh,形容詞,厳しい／無慈悲な
1176,random,形容詞,無作為な／でたらめの、手当たり次第の
1177,adolescent,名詞,思春期の／（10代の）若者
1178,up-to-date,形容詞,最新の／流行の
1179,liberal,名詞,自由主義の
1180,prior,名詞,（Aより）前の
1181,moderate,形容詞,適度な／節度ある、控えめな
1182,fluent,形容詞,流ちょうな（Aをすらすら話せる）
1183,elaborate,形容詞,手の込んだ／複雑な
