id,spell,pos,meaning
1184,incredible,形容詞,信じられない／途方もない
1185,radical,形容詞,根本的な／過激な
1186,acid,形容詞,酸の／酸性の；酸
1187,deaf,形容詞,耳の聞こえない、耳が不自由な
1188,medieval,形容詞,中世の
1189,ecological,形容詞,自然環境の／生態系の
1190,slight,形容詞,わずかな
1191,ignorant,形容詞,無知な／（事実などを）知らない
1192,cognitive,形容詞,認知の
1193,absolutely,副詞,絶対に／全く
1194,virtually,副詞,ほとんど／事実上
1195,somewhat,副詞,多少／いくぶん
1196,merely,副詞,単に／ほんの
1197,literally,副詞,文字通り（に）
1198,seemingly,副詞,一見（すると）
1199,regardless,形容詞,～に関係なく（+of）
1200,thoroughly,副詞,徹底的に／完全に
1201,submit,動詞,"①(+to A) Aに服従する
②(案・書類など)を提出する(=hand in)"
1202,tempt,動詞,～を誘惑する；～する気にさせる
1203,resign,動詞,(～を)辞職する、やめる
1204,conform,動詞,(規則・慣習などに)従う、合わせる(+to)
1205,confine,動詞,～を限定する(=limit)、閉じ込める、縛りつける
1206,assemble,動詞,①～を組み立てる ②～を集める；集まる
1207,dedicate,動詞,(+A to B) AをBにささげる、費やす(=devote)
1208,advocate,名詞,(主義など)を主張する、唱える、支持する／主張する人
1209,thrive,動詞,"繁栄する(=prosper, flourish)；よく成長する"
1210,provoke,動詞,①(人の反応など)を引き起こす ②～を怒らせる
1211,dictate,動詞,①～を命じる、要求する、決定する ②(文)を書き取らせる、口述する
1212,exploit,動詞,①(資源など)を利用する、開発する(=develop) ②(人)を搾取する
1213,surrender,動詞,①降伏する(+to) ②～を引き渡す
1214,reproduce,動詞,①(音・場面など)を再生する、複製する(=copy) ②繁殖する；(子)を繁殖させる
1215,acknowledge,動詞,(事実・過失・重要性など)を認める(=admit)
1216,swell,動詞,①ふくらむ、はれる ②増加する
1217,shed,動詞,①(葉など)を落とす、(皮など)を脱ぐ ②(血・涙など)を流す
1218,wind,動詞,曲がる；～を巻く
1219,cite,動詞,～を引き合いに出す、引用する
1220,digest,動詞,①～を消化する ②(情報など)をよく理解する
1221,skip,動詞,①～をとばす、抜かす；(～を)とばし読みする ②(～を)軽く跳ぶ、スキップする
1222,bind,動詞,①～を縛る、束縛する ②～を束ねる、団結させる
1223,dissolve,動詞,①(～を)溶解する ②(解散・解消して)なくなる
1224,implement,動詞,～を実行する、実施する(=carry out)
1225,steer,動詞,(船・車など)を操縦する；～を導く
1226,congratulate,動詞,(人)を祝福する、(人)におめでとうと言う
1227,designate,動詞,～を指定する(+as)、明示する
1228,violate,動詞,①(法律・約束など)を破る、～に違反する ②～を侵害する、乱す
1229,presume,動詞,～と推定する、思う
1230,recruit,動詞,(新人など)を入れる／新人、新入生
1231,coincide,動詞,同時に起こる、重なる；(考えなどが)一致する(+with)
1232,enforce,動詞,①(法律など)を施行する ②～を強制する(=force)
1233,displace,動詞,①(災害などが)(人)を故郷から追い出す ②～にとって代わる
1234,shrink,動詞,①縮む、～を縮ませる ②(量などが)減る ③しり込みする
1235,betray,動詞,①～を裏切る ②(秘密など)をもらす；～をうっかり表す
1236,comprise,動詞,①～から構成される、～をふくむ ②～を構成する；(割合)を占める
1237,indulge,動詞,①(+in A) A(快楽など)にふける、Aを楽しむ ②(人)を甘やかす
1238,penetrate,動詞,①(～に)入り込む；貫通する ②～に浸透する、しみ込む
1239,devastate,動詞,①～を壊滅させる、破壊する(=destroy) ②(人)を打ちのめす、(人)に衝撃を与える
1240,plunge,動詞,①(+into A) Aに突っ込む、A(状態)におちいる ②(+A into B) AをBに突っ込む、AをB(状態)におとしいれる
1241,bounce,動詞,はね返る、反射する、はずむ；～をはね返らせる
1242,contradict,動詞,①～と矛盾する、食い違う ②(主張など)に反論する、～を否定する
1243,prescribe,動詞,①(薬)を処方する ②(行為など)を指示する
1244,oppress,動詞,～をしいたげる、～を圧迫する
1245,cherish,動詞,①(思い出・希望など)を胸に抱く ②～を大切にする
1246,illuminate,動詞,①～を照らす ②(事実など)を解明する(=clarify)
1247,trigger,動詞,～のきっかけになる、～を誘発する
1248,commute,動詞,通勤[通学]する
1249,induce,動詞,①～を誘う、引き起こす(=cause) ②(+A to V) AをVする気にさせる、説得する(=persuade)
1250,utilize,動詞,～を利用する、活用する(=make use of)
1251,snap,動詞,①ポキンと折れる；～をポキンと折る；～をパチンと鳴らす ②素早く動く ③ビシャリと言う
1252,donate,動詞,～を提供する
1253,hatch,動詞,(卵・ヒナ)をかえす；かえる
1254,enclose,動詞,①～を囲む；～を閉じこめる ②～を同封する
1255,prevail,動詞,①普及している、広まる ②勝つ、まさる
1256,sigh,動詞,ため息をつく；～とため息まじりに言う
1257,leak,動詞,漏れる／～を漏らす
1258,compel,動詞,"(人)に強制する(=force, oblige)"
1259,crush,動詞,～を押しつぶす；つぶれる；～を鎮圧する
1260,comprehend,動詞,"～を理解する(=understand, grasp)"
1261,negotiate,動詞,①交渉する ②～を取り決める
1262,persist,動詞,①持続する、残る ②(+in A) Aを辛抱強く続ける
1263,multiply,動詞,①～を増やす、増える(=increase) ②A(数)にB(数)を掛ける(+A by B) ③(動・植物が)繁殖する
1264,conceive,動詞,①(～を)想像する、思いつく、考える ②妊娠する
1265,compensate,動詞,埋め合わせる、(損失などを)補償する
1266,suspend,動詞,①～を中止する、停止する ②～をつるす、ぶら下げる
1267,stir,動詞,(感情など)をかきたてる；～をかき回す、かき混ぜる
1268,soak,動詞,①～を浸す、びしょぬれにする ②(+A up) Aを吸収する
1269,refine,動詞,①～を洗練する、磨きをかける ②(石油など)を精製する
1270,arouse,動詞,(感情)を刺激する、かきたてる；(人)を興奮させる
1271,precede,動詞,～に先行する、(時間的に)先立つ
1272,render,動詞,①OをCにする、変える(+O C) ②AにBを与える(+A B)
1273,mount,動詞,①～をすえつける ②(馬・自転車など)に乗る ③増える(=increase)
1274,retreat,動詞,退く、引きこもる
1275,startle,動詞,～を驚かせる、びっくりさせる
1276,dare,助動詞,(+to) V Vする勇気がある；あえてVする
1277,sphere,名詞,①領域、範囲(=area) ②球体
1278,sequence,名詞,①連続(するもの) ②順序、順番(=order) ③場面
1279,deposit,名詞,①預金；頭金 ②堆積物、鉱床／～を置く、預ける
1280,poll,動詞,①世論調査 ②投票／(人々の)世論調査をする
1281,caution,動詞,①用心、慎重 ②警告／～に警告する
1282,rage,動詞,激怒、怒り／(病気などが)猛威を振るう、荒れ狂う
1283,formula,名詞,①式、公式 ②方法、秘けつ、解決策 ③決まり文句
1284,plot,動詞,①(小説・演劇などの)筋 ②陰謀、たくらみ ③(土地の)区画／(悪事)をたくらむ、～を秘かに企てる
1285,scope,名詞,①範囲(=area) ②(活動の)機会、余地(=room)
1286,norm,名詞,①(ある社会の)規範、行動基準 ②普通のこと、ありふれたこと
1287,disgust,動詞,嫌悪、反感、むかつき／～に嫌悪を抱かせる
1288,compromise,動詞,妥協／妥協する；(信用など)を汚す
1289,supervisor,名詞,監督者、管理者
1290,paradox,名詞,逆説、パラドックス；矛盾して見えるもの
1291,tissue,名詞,①(動植物の細胞の)組織 ②ティッシュペーパー
1292,breakdown,名詞,(組織・関係などの)崩壊、決裂；(心身の)衰弱；(機械の)機能停止
1293,initiative,名詞,①(新)構想、計画、戦略 ②主導権 ③自発性・独創性
1294,fabric,名詞,①織物、布 ②組織、構造(=structure)
1295,publicity,名詞,①宣伝、広告 ②評判、知名度
1296,summit,名詞,"①頂上、頂点(=peak, top) ②首脳会議"
1297,flock,動詞,(鳥・羊などの)群れ／群がる、集まる
1298,plague,名詞,疫病、伝染病；災害／～を苦しめる、悩ます
1299,haste,名詞,急ぐこと(=hurry)
1300,nap,動詞,うたた寝、居眠り／うたた寝する、居眠りする
1301,ally,名詞,同盟国、協力者
1302,draft,動詞,①下書き、草稿 ②(徴兵)／～を下書きする
1303,spectacle,名詞,①光景、情景 ②見せ物、スペクタクル
1304,premise,動詞,①前提 ②(～s)敷地、建物
1305,asset,名詞,①財産、資産；重要な物[人] ②長所、とりえ
1306,lag,動詞,遅れ、遅延／(他のものより)遅れる
1307,therapy,名詞,療法、治療法
1308,reception,名詞,①もてなし、歓迎(会) ②(ホテルの)フロント、受付
1309,compound,形容詞,化合物、複合体／複合的な、複雑な／(問題)を込み入らせる
1310,blessing,名詞,ありがたいもの、恵み；祝福
1311,sensation,名詞,①感覚、感じ ②大事件、大評判、センセーション
1312,recession,名詞,不景気、不況
1313,pole,名詞,①棒、さお ②（天体の）極、北極、南極
1314,outlook,名詞,①考え方、態度 ②見通し、見込み
1315,endeavor,名詞,活動、企て、努力
1316,mercy,名詞,慈悲、情け；幸運
1317,counterpart,名詞,（A’s ～）Aに相当するもの
1318,session,名詞,①（ある活動の）期間、（訓練・議会などの）会期 ②討論、会議
1319,spectrum,名詞,①（the/a～ of A）A（意見・気分など）の変動範囲、領域 ②（光の）スペクトル
1320,junk,名詞,くず、がらくた
1321,worship,名詞,崇拝、礼拝
1322,apt,形容詞,①（be apt to V）Vしがちである、Vする傾向がある ②適切な
1323,humble,形容詞,①謙虚な；卑下した ②粗末な、卑しい
1324,entitled,動詞,①（be entitled to A）Aを得る［する］権利がある ②～と題された
1325,valid,動詞,①妥当な、正当な ②（切符・文書などが）有効な、効力がある
1326,faint,動詞,かすかな／気絶する
1327,stiff,形容詞,①堅い、（筋肉などが）凝った ②堅苦しい ③（競争などが）厳しい
1328,obscure,形容詞,①わかりにくい、はっきりしない ②無名の
1329,fierce,形容詞,①（競争・反対・嵐などが）激しい ②どう猛な
1330,acute,形容詞,①（問題が）深刻な ②（感覚・痛みが）鋭い ③（症状が）急性の
1331,idle,形容詞,①（仕事がなくて）何もしていない ②なまけものの ③無意味な
1332,crude,形容詞,①粗末な、荒けずりの ②粗野な、下品な ③未加工の
1333,jealous,形容詞,嫉妬深い；うらやましい
1334,pregnant,形容詞,妊娠している
1335,liable,形容詞,①（be liable to V）Vしがちである、可能性が高い ②（+to A）（病気などに）かかりやすい、受けやすい ③（+for A）（法律上）責任がある
1336,stubborn,動詞,頑固な、断固たる；変えにくい
1337,decent,形容詞,（世間から見て）まともな、ちゃんとした（=respectable）；かなり良い
1338,marvelous,形容詞,驚くべき、不思議な；すばらしい
1339,misleading,形容詞,誤解を招く、まぎらわしい
1340,synthetic,形容詞,合成の、人工的な
1341,classical,名詞,①（音楽が）クラシックの ②ギリシャ・ローマの；古典的な
1342,Muslim,名詞,イスラム教の／イスラム教徒、回教徒
1343,anticipate,動詞,予想する
1344,rub,動詞,こする、摩擦する
1345,dispose,動詞,処分する
1346,refrain,動詞,控える、慎む
1347,accumulate,動詞,蓄積する
1348,boost,動詞,高める、活気づける
1349,drag,動詞,引きずる
1350,revise,動詞,修正する、改訂する
1351,scratch,動詞,かく、ひっかく
1352,roar,動詞,ほえる
1353,quote,動詞,引用する
1354,bloom,動詞,咲く
1355,insert,動詞,差し込む、挿入する
1356,await,動詞,待つ
1357,dread,動詞,恐れる
1358,conceal,動詞,隠す
1359,enrich,動詞,豊かにする、向上させる
1360,cling,動詞,固執する、くっつく
1361,surpass,動詞,まさる、越える
1362,suppress,動詞,抑える、抑圧する
1363,portray,動詞,描写する
1364,soar,動詞,急上昇する、舞い上がる
1365,drain,動詞,排出する、流出する
1366,glow,動詞,ほのかに光る
1367,migrate,動詞,移住する
1368,exclaim,動詞,叫ぶ
1369,exert,動詞,（力などを）行使する、及ぼす
1370,disguise,動詞,隠す、偽る、変装する
1371,accelerate,動詞,加速する、速める
1372,dwell,動詞,住む
1373,integrate,動詞,統合する、溶け込ませる
1374,weep,動詞,泣く
1375,reassure,動詞,安心させる
1376,crawl,動詞,はう、はって進む
1377,restrain,動詞,抑制する
1378,resent,動詞,憤慨する
1379,yell,動詞,大声で叫ぶ
1380,assess,動詞,評価する
1381,carve,動詞,彫る
1382,halt,動詞,止める
1383,inspect,動詞,検査する、点検する
1384,tackle,動詞,取り組む
1385,omit,動詞,省く
1386,chew,動詞,かむ
1387,resume,動詞,再開する
1388,mold,動詞,型で作る、形成する
1389,accommodate,動詞,収容する
1390,erase,動詞,消す、消去する
1391,infer,動詞,推量する、推論する
1392,revive,動詞,復活させる、復活する
1393,contemplate,動詞,熟考する、考える
1394,rotate,動詞,回転する
1395,disrupt,動詞,かき乱す、中断させる
1396,navigate,動詞,航行する、進路を決める
1397,ache,動詞,痛む
1398,discard,動詞,捨てる、放棄する
1399,incorporate,動詞,取り入れる
1400,overtake,動詞,追い越す
1401,supplement,動詞,補う
1402,manipulate,動詞,操作する、巧みに扱う
1403,nourish,動詞,養う、栄養を与える
1404,squeeze,動詞,しぼる
1405,depict,動詞,描写する
1406,distract,動詞,注意をそらす
1407,disclose,動詞,暴露する、公表する
1408,enroll,動詞,入学する、加入する
1409,nurture,動詞,育てる
1410,speculate,動詞,推測する
1411,prolong,動詞,延ばす、延長する
1412,execute,動詞,遂行する、処刑する
1413,uncover,動詞,明らかにする
1414,tremble,動詞,震える
1415,seize,動詞,つかむ
1416,abolish,動詞,廃止する
1417,scold,動詞,叱る
1418,attain,動詞,達成する
1419,utter,動詞,発する、述べる
1420,flee,動詞,逃げる
1421,avoid,動詞,避ける
1422,confess,動詞,告白する
1423,postpone,動詞,延期する
1424,drift,動詞,漂う
1425,weave,動詞,織る
1426,install,動詞,設置する
1427,twist,動詞,ねじる、曲げる
1428,extract,動詞,取り出す、抽出する
1429,bump,動詞,ぶつかる
1430,despise,動詞,軽蔑する
1431,tolerate,動詞,我慢する、耐える
1432,boast,動詞,自慢する
1433,flourish,動詞,繁栄する
1434,disregard,動詞,無視する
1435,tease,動詞,からかう
1436,reinforce,動詞,強化する、補強する
1437,strive,動詞,努力する
1438,coordinate,動詞,調整する、合わせる
1439,yawn,動詞,あくびをする
1440,hug,動詞,抱きしめる
1441,combat,動詞,戦う
1442,knit,動詞,編む
1443,fatigue,名詞,精神疲労
1444,fame,名詞,評判
1445,mess,名詞,混乱
1446,dignity,名詞,威厳、気品
1447,Canal,名詞,パナマ運河
1448,drought,動詞,干ばつ
1449,despair,名詞,絶望
1450,interval,名詞,間隔、へだたり
1451,luggage,名詞,荷物
1452,behalf,副詞,（on behalf of ～）～を代表して／～のために
1453,impulse,名詞,衝動、欲求
1454,debris,名詞,がれき、ごみ
1455,Beast,名詞,野獣
1456,superstition,名詞,迷信
1457,illusion,名詞,幻想
1458,thread,名詞,糸
1459,intake,名詞,摂取量
1460,feast,名詞,祝祭、宴会
1461,transition,名詞,推移、変化
1462,misery,名詞,みじめさ、不幸
1463,radiation,名詞,放射線；（光・熱などの）放射、発散
1464,cabin,名詞,丸太小屋
1465,consensus,名詞,合意
1466,deed,名詞,行い、行為
1467,proverb,名詞,ことわざ
1468,compliment,名詞,ほめ言葉
1469,flame,名詞,炎
1470,anniversary,名詞,記念日
1471,conscience,名詞,良心
1472,expedition,名詞,遠征、探検隊
1473,offspring,名詞,子孫
1474,allowance,名詞,手当金、仕送り、許容量
1475,headline,動詞,（新聞の）大見出し、主なニュース項目
1476,treaty,名詞,条約（平和条約など）
1477,monument,名詞,記念碑；遺跡、史跡
1478,worm,名詞,虫（ミミズ、イモムシなど）
1479,remedy,名詞,治療法；薬；改善策
1480,encyclopedia,名詞,百科事典
1481,glimpse,名詞,ちらりと見ること
1482,personnel,名詞,職員；人事
1483,triumph,名詞,勝利；大成功
1484,arithmetic,名詞,算数
1485,self-esteem,名詞,自尊心
1486,microbes,名詞,微生物
1487,odds,名詞,勝ち目、賭け率
1488,chaos,名詞,混沌、無秩序
1489,destiny,名詞,運命
1490,diameter,名詞,直径
1491,lottery,名詞,宝くじ
1492,souvenir,名詞,記念品、みやげ
1493,trail,名詞,小道；通った跡
1494,ratio,名詞,比率
1495,sword,名詞,剣
1496,whistle,名詞,笛
1497,sentiment,名詞,世論；意見、感情
1498,chores,名詞,日課、家事
1499,courtesy,名詞,礼儀、儀礼
1500,mayor,名詞,市長
1501,surveillance,名詞,監視
1502,trash,名詞,ごみ、がらくた
1503,prestige,名詞,威信、信望（名声）
1504,headquarters,名詞,本部、司令部
1505,wilderness,名詞,荒野、未開の地
1506,orbit,名詞,軌道
1507,bias,動詞,偏見、偏り
1508,Republic,名詞,共和国
1509,bargain,名詞,掘り出し物、値引き品
1510,domain,名詞,領域
1511,fragment,名詞,破片、断片
1512,Galaxy,名詞,銀河（系）
1513,lap,名詞,ひざの上
1514,deadline,名詞,締め切り
1515,bullet,名詞,弾丸
1516,pedestrians,名詞,歩行者
1517,wit,名詞,機知
1518,nuisance,名詞,迷惑
1519,criteria,名詞,基準、尺度
1520,hardship,名詞,苦難
1521,glory,名詞,栄光；すばらしさ
1522,pavement,名詞,歩道
1523,Navy,名詞,海軍
1524,script,名詞,台本；筆跡、文字
1525,pension,名詞,年金
1526,province,名詞,州；地方
1527,surplus,名詞,余剰
1528,moisture,名詞,湿気、水分
1529,patch,名詞,（革などの）当て布；部分
1530,altitude,名詞,高度
1531,thermometer,名詞,温度計
1532,tuition,名詞,授業料
1533,troops,名詞,軍隊
1534,primates,名詞,霊長類
1535,flaws,名詞,欠陥、不備、欠点
1536,nephew,名詞,甥
1537,garment,名詞,衣服
1538,diagnosis,名詞,診断；（病気・問題の）分析
1539,commerce,名詞,商業；貿易、商取引
1540,antiquity,名詞,古代
1541,fraction,名詞,一部；少量；分数
1542,irony,名詞,皮肉；奇妙な事実
1543,nightmare,名詞,悪夢
1544,defect,名詞,欠陥；障害
1545,certificate,名詞,証明書；免許状
1546,decay,名詞,腐敗；衰退
1547,erosion,名詞,侵食
1548,recipe,名詞,レシピ；調理法
1549,skeleton,名詞,骨格；骸骨
1550,grace,名詞,優雅さ；気品
1551,landmarks,名詞,名所；目印
1552,dementia,名詞,認知症
1553,flesh,名詞,肉；肌
1554,collision,名詞,衝突
1555,hazard,名詞,危険要因、危険なもの
1556,tomb,名詞,墓
1557,injections,名詞,注射
1558,breakthrough,名詞,飛躍的進歩、急進展
1559,leather,名詞,革（革製の）
1560,jewelry,名詞,宝石類
1561,cues,名詞,合図（手がかり）
1562,ambulance,名詞,救急車
1563,estate,名詞,所有地、財産
1564,commodity,名詞,商品
1565,departure,名詞,出発；逸脱、離反
1566,phase,名詞,段階；時期
1567,thief,名詞,泥棒
1568,Saint,名詞,聖人、聖者
1569,sculpture,名詞,彫刻
1570,grief,名詞,悲しみ
1571,lane,名詞,車線；小道
1572,predators,名詞,捕食動物（肉食動物）
1573,fluids,名詞,流体
1574,incentive,名詞,動機（はげみ、刺激）
1575,bride,名詞,花嫁
1576,intervention,名詞,介入；干渉
1577,margin,名詞,差；余白；ふち
1578,biography,名詞,伝記
1579,consent,名詞,同意；承諾
1580,volcano,名詞,火山
1581,rebels,名詞,反逆者たち
1582,metaphor,名詞,比喩、隠喩
1583,legislation,名詞,法律；立法
1584,lightning,名詞,稲妻
1585,pesticides,名詞,殺虫剤（除草剤）
1586,column,名詞,コラム；円柱；（縦の）列
1587,rumor,名詞,うわさ
1588,dust,動詞,ほこり
1589,dialogue,名詞,対話
1590,kindergarten,名詞,幼稚園
1591,diabetes,名詞,糖尿病
1592,obesity,名詞,肥満
1593,patent,名詞,特許
1594,chapter,名詞,章
1595,Palace,名詞,宮殿
1596,laundry,名詞,洗濯
1597,ward,名詞,病棟；（行政の）区
1598,outbreak,名詞,ぼっ発；発生
1599,equation,名詞,方程式；等式
1600,archaeologist,名詞,考古学者
1601,corruption,名詞,腐敗；堕落
1602,germs,名詞,細菌；病原体
1603,revenue,名詞,収入
1604,spouse,名詞,配偶者（夫、妻）
1605,epidemic,名詞,流行；伝染病
1606,mortality,名詞,死亡率；死亡者数
1607,syndrome,名詞,症候群
1608,retail,動詞,小売り（小売りの値段）
1609,dose,名詞,（1回分の）服用量
1610,beverages,名詞,飲料（アルコール飲料）
1611,metabolism,名詞,代謝
1612,hybrid,名詞,交配種；雑種
1613,scent,形容詞,香り、におい
1614,inflammation,名詞,炎症
1615,pills,名詞,錠剤（睡眠薬など）
1616,grave,形容詞,重大な、深刻な（=serious）
1617,fertile,形容詞,肥沃な、多産な
1618,hostile,動詞,敵意のある
1619,indispensable,形容詞,不可欠な（欠かせない）
1620,oriented,形容詞,（Aに）関心がある／A志向の
1621,splendid,形容詞,壮麗な、すばらしい
1622,competent,形容詞,有能な（=skillful）
1623,supreme,形容詞,最高の
1624,straightforward,形容詞,わかりやすい、率直な
1625,sacred,形容詞,神聖な（=holy）
1626,bold,形容詞,"大胆な（=brave, daring）"
1627,uneasy,形容詞,不安な、落ち着かない
1628,neat,形容詞,きちんとした、こぎれいな
1629,shallow,形容詞,浅い／浅はかな
1630,fake,動詞,にせの
1631,superficial,形容詞,表面的な、うわべの（浅薄な）
1632,absurd,形容詞,ばかげた（=foolish）
1633,fragile,形容詞,もろい、壊れやすい
1634,respectable,形容詞,立派な、（品があって）下品でない
1635,magnificent,形容詞,立派な、すばらしい
1636,infinite,形容詞,無限の
1637,comprehensive,形容詞,総合的な、広範囲の
1638,steep,形容詞,急な
1639,gross,形容詞,総計の／（誤りなどが）ひどい
1640,subsequent,形容詞,（時間的に）後の、次の（=following）
1641,sincere,形容詞,誠実な
1642,toxic,形容詞,有毒な（=poisonous）
1643,neutral,形容詞,中立の、公平な
1644,diligent,形容詞,勤勉な
1645,sore,形容詞,（のどなどが）痛い
1646,contaminated,形容詞,汚染された（=polluted）
1647,ambiguous,形容詞,あいまいな、多義的な
1648,oral,名詞,口述の（⇔written）
1649,restless,形容詞,落ち着かない、そわそわした、不安な
1650,rotten,形容詞,腐った
1651,vigorous,形容詞,精力的な、元気はつらつな
1652,immense,形容詞,莫大な、計り知れない
1653,metropolitan,名詞,大都市の／大都市圏の
1654,punctual,形容詞,時間を守る
1655,solitary,形容詞,孤独な（=lonely）
1656,collective,形容詞,集団の、集合的な
1657,diplomatic,形容詞,外交的な
1658,nasty,形容詞,不快な、意地の悪い（=unpleasant）
1659,helpless,形容詞,無力な
1660,explicit,形容詞,露骨な、はっきりとした
1661,bankrupt,動詞,破産した
1662,eternal,形容詞,永遠の（=perpetual）
1663,sole,名詞,唯一の（=only）
1664,sour,形容詞,すっぱい
1665,notable,形容詞,注目すべき
1666,affluent,形容詞,"裕福な（=rich, wealthy）"
1667,naked,形容詞,裸の
1668,vocal,名詞,声の、発声の
1669,feminine,形容詞,女性的な
1670,vacant,形容詞,空いている（⇔occupied）
1671,exotic,形容詞,異国風の
1672,rigid,形容詞,厳格な、がんこな
1673,humid,形容詞,多湿の
1674,outstanding,形容詞,傑出した、目立った
1675,addicted,動詞,（be addicted to）～の中毒である／～に熱中した
1676,vulnerable,形容詞,攻撃を受けやすい、傷つきやすい
1677,spontaneous,形容詞,自然に起こる、自発的な
1678,greedy,形容詞,どん欲な
1679,trivial,形容詞,ささいな、とるに足らない
1680,per capita,形容詞,一人当たりの
1681,inherent,形容詞,本来備わった、固有の
1682,promising,形容詞,前途有望な
1683,physiological,形容詞,生理的な
1684,clinical,形容詞,臨床の
1685,chronic,形容詞,慢性の
1686,geological,形容詞,地質学の／地質学的な
1687,countless,形容詞,無数の
1688,innate,形容詞,先天的な（=inborn）
1689,alert,動詞,用心している、警戒している
1690,autonomous,形容詞,自律の、自立した
1691,simultaneously,副詞,同時に
1692,utterly,副詞,まったく、完全に（=totally）
1693,drastically,副詞,劇的に、徹底的に
1694,necessarily,副詞,必ず（しも）
1695,thereby,副詞,そうすることで（=by that means）
1696,frankly,副詞,率直に
1697,namely,副詞,すなわち
1698,hence,副詞,だから（=therefore）
1699,via,前置詞,～経由で（=by way of）
1700,owing to,動詞,～のために（=because of）
